iteration,mean_training_outcome,pg_loss,replay_size,opponent_pool_size,eval_winrate_vs_original_M1,eval_winrate_vs_random,eval_avg_moves_vs_original_M1
1,0.375,-0.20436379313468933,119,3,0.5,1.0,35.0
2,-0.375,-0.27723607420921326,203,3,,,
3,-0.375,-0.38486447930336,308,3,,,
4,-0.625,-0.4843981862068176,425,3,,,
5,-0.75,-0.12865187227725983,528,3,0.5,1.0,35.0
6,-0.125,-0.44325509667396545,627,3,,,
7,0.0,-0.3294382393360138,732,3,,,
8,-0.25,-0.45696237683296204,827,3,,,
9,-1.0,-0.7618540525436401,908,3,,,
10,-0.5,-0.12986056506633759,995,3,0.5,1.0,35.0
11,-0.5,-0.1737850457429886,1079,3,,,
12,-0.125,-0.2616839110851288,1178,3,,,
13,0.0,-0.270354688167572,1296,3,,,
14,-0.5,-0.43090856075286865,1378,3,,,
15,-0.5,-0.4097627103328705,1472,3,0.5,1.0,36.0
16,-0.25,-0.3523397743701935,1567,4,,,
17,-0.125,-0.41453033685684204,1667,4,,,
18,0.25,-0.21916013956069946,1764,4,,,
19,-0.25,-0.46204447746276855,1871,4,,,
20,0.125,-0.6961491107940674,1995,4,0.5,1.0,36.0
21,0.25,-0.26532334089279175,2117,4,,,
22,-0.125,-0.2078012377023697,2221,4,,,
23,-0.25,-0.10249069333076477,2325,4,,,
24,-0.5,-0.4599907398223877,2415,4,,,
25,0.0,-0.5262507796287537,2506,4,0.5,1.0,38.0
26,-0.375,-0.5926221609115601,2628,4,,,
27,-0.25,-0.3807455003261566,2724,4,,,
28,-0.25,-0.5068991780281067,2841,4,,,
29,-0.375,-0.19624601304531097,2946,4,,,
30,-0.5,-0.07857343554496765,3008,4,0.5,1.0,38.0
31,-0.375,-0.6052119731903076,3113,5,,,
32,-0.5,-0.20274215936660767,3192,5,,,
33,-0.375,-0.49317342042922974,3303,5,,,
34,0.25,-0.4638477563858032,3396,5,,,
35,-0.25,-0.6316207647323608,3503,5,1.0,1.0,39.5
36,0.0,-0.4573686718940735,3600,5,,,
37,0.75,-0.26398947834968567,3700,5,,,
38,0.25,-0.2908320724964142,3811,5,,,
39,0.25,-0.2591688632965088,3921,5,,,
40,-0.5,-0.10352601110935211,3997,5,1.0,1.0,39.5
41,-0.75,-0.5821913480758667,4095,5,,,
42,0.0,-0.7974410057067871,4175,5,,,
43,0.375,-1.1935789585113525,4280,5,,,
44,-0.5,-0.37939512729644775,4378,5,,,
45,0.0,-0.5021802186965942,4479,5,1.0,1.0,39.5
46,-0.5,-0.4690406918525696,4586,6,,,
47,-0.25,-0.6116905212402344,4686,6,,,
48,0.25,-0.8170173764228821,4799,6,,,
49,0.0,-0.441621869802475,4914,6,,,
50,-0.5,-0.8468316793441772,5000,6,1.0,1.0,39.5
51,0.125,-0.6301277875900269,5000,6,,,
52,0.125,-0.2367938607931137,5000,6,,,
53,-0.5,-0.5188217759132385,5000,6,,,
54,0.0,-0.24521169066429138,5000,6,,,
55,-0.375,-0.6062414646148682,5000,6,1.0,1.0,39.5
56,-0.25,-0.2556356191635132,5000,6,,,
57,-0.125,-0.7010129690170288,5000,6,,,
58,-0.375,-0.6220625638961792,5000,6,,,
59,0.125,-0.35066333413124084,5000,6,,,
60,-0.25,-0.058552756905555725,5000,6,0.5,1.0,41.0
